/usr/java/bin/java -XX:MaxRAMPercentage=85.0 -cp /binary/ycsb/mongodb-binding/conf:/binary/ycsb/conf:/binary/ycsb/lib/jackson-core-asl-1.9.4.jar:/binary/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/binary/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/binary/ycsb/lib/HdrHistogram-2.1.4.jar:/binary/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/binary/ycsb/mongodb-binding/lib/logback-classic-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongo-java-driver-3.11.0.jar:/binary/ycsb/mongodb-binding/lib/mongodb-async-driver-2.0.1.jar:/binary/ycsb/mongodb-binding/lib/logback-core-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongodb-binding-0.18.0-SNAPSHOT.jar:/binary/ycsb/mongodb-binding/lib/snappy-java-1.1.7.1.jar:/binary/ycsb/mongodb-binding/lib/slf4j-api-1.7.25.jar site.ycsb.Client -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 7000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=hotspot -p hotspotdatafraction=0.013 -p hotspotopnfraction=0.95 -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
Command line: -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 7000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=hotspot -p hotspotdatafraction=0.013 -p hotspotopnfraction=0.95 -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 1800 secs
2023-05-06 07:06:17:454 0 sec: 0 operations; est completion in 0 second 
07:06:17.571 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
07:06:17.571 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
mongo client connection created with mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2023-05-06 07:06:27:437 10 sec: 67710 operations; 6771 current ops/sec; est completion in 4 hours 3 minutes [READ: Count=64355, Max=557055, Min=1120, Avg=2569.83, 90=3367, 99=10063, 99.9=43071, 99.99=551423] [UPDATE: Count=3368, Max=557055, Min=3092, Avg=7633.59, 90=11975, 99=27759, 99.9=48479, 99.99=557055] 
2023-05-06 07:06:37:437 20 sec: 137708 operations; 6999.8 current ops/sec; est completion in 3 hours 59 minutes [READ: Count=66478, Max=31071, Min=1114, Avg=1761.62, 90=2375, 99=5191, 99.9=9135, 99.99=15783] [UPDATE: Count=3518, Max=38399, Min=3118, Avg=5859.72, 90=7583, 99=12791, 99.9=19295, 99.99=38399] 
2023-05-06 07:06:47:437 30 sec: 207707 operations; 6999.9 current ops/sec; est completion in 3 hours 57 minutes [READ: Count=66516, Max=27087, Min=1115, Avg=1767.72, 90=2393, 99=5403, 99.9=10463, 99.99=18495] [UPDATE: Count=3484, Max=24639, Min=3176, Avg=5770.66, 90=7531, 99=11615, 99.9=19103, 99.99=24639] 
2023-05-06 07:06:57:437 40 sec: 277711 operations; 7000.4 current ops/sec; est completion in 3 hours 57 minutes [READ: Count=66533, Max=21039, Min=1121, Avg=1741.45, 90=2331, 99=4959, 99.9=9351, 99.99=14351] [UPDATE: Count=3466, Max=26175, Min=3202, Avg=5923.06, 90=7819, 99=12815, 99.9=20735, 99.99=26175] 
2023-05-06 07:07:07:437 50 sec: 347705 operations; 6999.4 current ops/sec; est completion in 3 hours 56 minutes [READ: Count=66556, Max=35167, Min=1136, Avg=2128.78, 90=3281, 99=9935, 99.9=19167, 99.99=31391] [UPDATE: Count=3440, Max=55647, Min=3222, Avg=7738.78, 90=11783, 99=28879, 99.9=49119, 99.99=55647] 
2023-05-06 07:07:17:437 60 sec: 417705 operations; 7000 current ops/sec; est completion in 3 hours 56 minutes [READ: Count=66527, Max=57471, Min=1117, Avg=2645.22, 90=5127, 99=14223, 99.9=24335, 99.99=34431] [UPDATE: Count=3480, Max=276991, Min=3288, Avg=11984.78, 90=16783, 99=107071, 99.9=271359, 99.99=276991] 
2023-05-06 07:07:27:437 70 sec: 487690 operations; 6998.5 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66480, Max=94399, Min=1120, Avg=2816.22, 90=5611, 99=16495, 99.9=30095, 99.99=46175] [UPDATE: Count=3501, Max=81023, Min=3378, Avg=11597.28, 90=20383, 99=43135, 99.9=72895, 99.99=81023] 
2023-05-06 07:07:37:437 80 sec: 557707 operations; 7001.7 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66545, Max=62367, Min=1142, Avg=2693, 90=5055, 99=15639, 99.9=29103, 99.99=48479] [UPDATE: Count=3471, Max=78463, Min=3536, Avg=10732.94, 90=18255, 99=33055, 99.9=49055, 99.99=78463] 
2023-05-06 07:07:47:437 90 sec: 627704 operations; 6999.7 current ops/sec; est completion in 3 hours 55 minutes [READ: Count=66527, Max=53215, Min=1131, Avg=2488.29, 90=4335, 99=13663, 99.9=26143, 99.99=37439] [UPDATE: Count=3468, Max=57471, Min=3422, Avg=10811.77, 90=18879, 99=30575, 99.9=47071, 99.99=57471] 
2023-05-06 07:07:57:437 100 sec: 697680 operations; 6997.6 current ops/sec; est completion in 3 hours 54 minutes [READ: Count=66441, Max=54527, Min=1137, Avg=2398, 90=4075, 99=12423, 99.9=23791, 99.99=34335] [UPDATE: Count=3539, Max=54015, Min=3568, Avg=9697.86, 90=15983, 99=29327, 99.9=43519, 99.99=54015] 
2023-05-06 07:08:07:437 110 sec: 767709 operations; 7002.9 current ops/sec; est completion in 3 hours 54 minutes [READ: Count=66462, Max=35967, Min=1106, Avg=1922.71, 90=2599, 99=8751, 99.9=16879, 99.99=28415] [UPDATE: Count=3565, Max=32511, Min=3180, Avg=6965.87, 90=10727, 99=19199, 99.9=27391, 99.99=32511] 
2023-05-06 07:08:17:437 120 sec: 837707 operations; 6999.8 current ops/sec; est completion in 3 hours 54 minutes [READ: Count=66524, Max=35487, Min=1123, Avg=1792.65, 90=2417, 99=5651, 99.9=12007, 99.99=20367] [UPDATE: Count=3479, Max=27631, Min=3012, Avg=6231.83, 90=8527, 99=15279, 99.9=22399, 99.99=27631] 
