/usr/java/bin/java -XX:MaxRAMPercentage=85.0 -cp /binary/ycsb/mongodb-binding/conf:/binary/ycsb/conf:/binary/ycsb/lib/jackson-core-asl-1.9.4.jar:/binary/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/binary/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/binary/ycsb/lib/HdrHistogram-2.1.4.jar:/binary/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/binary/ycsb/mongodb-binding/lib/logback-classic-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongo-java-driver-3.11.0.jar:/binary/ycsb/mongodb-binding/lib/mongodb-async-driver-2.0.1.jar:/binary/ycsb/mongodb-binding/lib/logback-core-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongodb-binding-0.18.0-SNAPSHOT.jar:/binary/ycsb/mongodb-binding/lib/snappy-java-1.1.7.1.jar:/binary/ycsb/mongodb-binding/lib/slf4j-api-1.7.25.jar site.ycsb.Client -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 5000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=uniform -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
Command line: -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 50 -p recordcount=500000000 -p operationcount=99000000 -target 5000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=uniform -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 1800 secs
2023-05-05 20:16:58:076 0 sec: 0 operations; est completion in 0 second 
20:16:58.191 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
20:16:58.191 [Thread-13] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
mongo client connection created with mongodb://benchant:BareRebel2022@mongodb-small-calibrati-shard-00-00.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-01.c2hd1.mongodb.net:27017,mongodb-small-calibrati-shard-00-02.c2hd1.mongodb.net:27017/?ssl=true&authSource=admin&replicaSet=atlas-kaysfi-shard-0&w=majority&j=true&readPreference=primary
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2023-05-05 20:17:08:060 10 sec: 48415 operations; 4841.5 current ops/sec; est completion in 5 hours 40 minutes [READ: Count=46021, Max=655359, Min=1198, Avg=3599.33, 90=6011, 99=12207, 99.9=642047, 99.99=652799] [UPDATE: Count=2403, Max=73919, Min=3516, Avg=9159.75, 90=18335, 99=49343, 99.9=71103, 99.99=73919] 
2023-05-05 20:17:18:060 20 sec: 98416 operations; 5000.1 current ops/sec; est completion in 5 hours 34 minutes [READ: Count=47561, Max=23375, Min=1213, Avg=1987.22, 90=2539, 99=4587, 99.9=10631, 99.99=18591] [UPDATE: Count=2437, Max=28223, Min=3654, Avg=5575.38, 90=7047, 99=10631, 99.9=19039, 99.99=28223] 
2023-05-05 20:17:28:060 30 sec: 148417 operations; 5000.1 current ops/sec; est completion in 5 hours 33 minutes [READ: Count=47548, Max=34783, Min=1213, Avg=1991.72, 90=2541, 99=4651, 99.9=10239, 99.99=22351] [UPDATE: Count=2457, Max=17599, Min=3362, Avg=5546.8, 90=6875, 99=10983, 99.9=15071, 99.99=17599] 
2023-05-05 20:17:38:060 40 sec: 198417 operations; 5000 current ops/sec; est completion in 5 hours 31 minutes [READ: Count=47538, Max=20431, Min=1233, Avg=1986.42, 90=2529, 99=4571, 99.9=10951, 99.99=17375] [UPDATE: Count=2454, Max=25791, Min=3542, Avg=5643.77, 90=7163, 99=11463, 99.9=21919, 99.99=25791] 
2023-05-05 20:17:48:060 50 sec: 248412 operations; 4999.5 current ops/sec; est completion in 5 hours 31 minutes [READ: Count=47461, Max=24895, Min=1232, Avg=2129.57, 90=2859, 99=6039, 99.9=13671, 99.99=21551] [UPDATE: Count=2541, Max=28431, Min=3542, Avg=5836.36, 90=7343, 99=15143, 99.9=24479, 99.99=28431] 
2023-05-05 20:17:58:060 60 sec: 298414 operations; 5000.2 current ops/sec; est completion in 5 hours 30 minutes [READ: Count=47488, Max=25039, Min=1200, Avg=3041.58, 90=4891, 99=10751, 99.9=17311, 99.99=21167] [UPDATE: Count=2513, Max=31039, Min=3612, Avg=6913.4, 90=9783, 99=17871, 99.9=25519, 99.99=31039] 
2023-05-05 20:18:08:060 70 sec: 348414 operations; 5000 current ops/sec; est completion in 5 hours 30 minutes [READ: Count=47565, Max=25247, Min=1221, Avg=3036.64, 90=4799, 99=10135, 99.9=17727, 99.99=23295] [UPDATE: Count=2438, Max=29391, Min=3570, Avg=6943.11, 90=9823, 99=16975, 99.9=26975, 99.99=29391] 
2023-05-05 20:18:18:060 80 sec: 398409 operations; 4999.5 current ops/sec; est completion in 5 hours 30 minutes [READ: Count=47517, Max=26463, Min=1190, Avg=3054.81, 90=4907, 99=11351, 99.9=18079, 99.99=24431] [UPDATE: Count=2477, Max=215551, Min=3616, Avg=8783.88, 90=11375, 99=74559, 99.9=201471, 99.99=215551] 
2023-05-05 20:18:28:060 90 sec: 448412 operations; 5000.3 current ops/sec; est completion in 5 hours 29 minutes [READ: Count=47512, Max=86399, Min=1214, Avg=3616.76, 90=6363, 99=16103, 99.9=45503, 99.99=81855] [UPDATE: Count=2488, Max=61247, Min=3618, Avg=8168.92, 90=14743, 99=27343, 99.9=54079, 99.99=61247] 
2023-05-05 20:18:38:060 100 sec: 498414 operations; 5000.2 current ops/sec; est completion in 5 hours 29 minutes [READ: Count=47476, Max=27295, Min=1225, Avg=2965.07, 90=4547, 99=10591, 99.9=16975, 99.99=21775] [UPDATE: Count=2529, Max=31551, Min=3180, Avg=6861.01, 90=9703, 99=19519, 99.9=28287, 99.99=31551] 
2023-05-05 20:18:48:060 110 sec: 548414 operations; 5000 current ops/sec; est completion in 5 hours 29 minutes [READ: Count=47497, Max=24735, Min=1224, Avg=2970.78, 90=4587, 99=10287, 99.9=16055, 99.99=20447] [UPDATE: Count=2497, Max=29167, Min=3832, Avg=6738.64, 90=9175, 99=17343, 99.9=26447, 99.99=29167] 
2023-05-05 20:18:58:060 120 sec: 598415 operations; 5000.1 current ops/sec; est completion in 5 hours 28 minutes [READ: Count=47516, Max=104383, Min=1220, Avg=4358.27, 90=8631, 99=17375, 99.9=44383, 99.99=82047] [UPDATE: Count=2493, Max=83391, Min=3728, Avg=9423.87, 90=17135, 99=30095, 99.9=54879, 99.99=83391] 
